date,action,price,qty,fee
2012-08-08,BUY,1.6676659999999996,59946.06173976134,29.991002699190243
2012-08-14,SELL,1.634364,59946.06173976134,29.392105574772987
2012-09-10,BUY,1.6046029999999998,61021.27359108023,29.37447560042043
2012-09-18,SELL,1.523475,61021.27359108023,27.889315435251284
2012-09-28,BUY,1.5155139999999998,61305.02448797646,27.872586864561338
2012-10-29,SELL,1.513485,61305.02448797646,27.835270496155513
2012-11-02,BUY,1.5785769999999997,58741.88027720296,27.818574342703858
2012-11-07,SELL,1.561437,58741.88027720296,27.516523594318482
2012-12-06,BUY,1.4834819999999997,61791.60163195037,27.50001863165069
2013-02-22,SELL,1.877121,61791.60163195037,34.79709391409049
2013-03-21,BUY,1.8848829999999999,61500.230906180856,34.77622191934046
2013-03-27,SELL,1.844154,61500.230906180856,34.02476904796711
2013-04-22,BUY,1.8128109999999997,62526.025987927,34.00436030915997
2013-04-24,SELL,1.727271,62526.025987927,32.3998174302578
2013-04-25,BUY,1.7607589999999997,61300.04800963244,32.38038337001771
2013-04-26,SELL,1.753245,61300.04800963244,32.242200801794404
2013-05-06,BUY,1.7777759999999998,60417.925323867064,32.222861283168925
2013-06-05,SELL,1.845153,60417.925323867064,33.44409484953278
2013-07-12,BUY,1.6456439999999997,67702.03521287047,33.42403441075469
2013-07-22,SELL,1.474524,67702.03521287047,29.94848273106678
2013-07-24,BUY,1.5825809999999998,63041.57371310601,29.9305190305383
2013-07-29,SELL,1.5194789999999998,63041.57371310601,28.737104215204976
2013-08-02,BUY,1.6005989999999999,59810.664890255204,28.719867123803272
2013-09-27,SELL,1.712286,59810.664890255204,30.723889242682656
2013-10-09,BUY,1.7677659999999997,57898.80266539524,30.705460437778516
2013-10-11,SELL,1.76823,57898.80266539524,30.713519951109546
2013-10-14,BUY,1.8058039999999997,56660.07563374255,30.69509736591444
2013-10-17,SELL,1.7632349999999999,56660.07563374255,29.971508538018607
2013-10-22,BUY,1.8058039999999997,55291.21843815713,29.95353102614936
2013-10-24,SELL,1.7452530000000002,55291.21843815713,28.949149455854712
2013-11-19,BUY,1.7507489999999999,55084.58603615807,28.931785175465308
2013-12-12,SELL,1.739259,55084.58603615807,28.741908607398674
2014-01-23,BUY,1.5645629999999997,61198.491494059796,28.724668634226195
2014-01-24,SELL,1.544454,61198.491494059796,28.355476494589986
2014-01-27,BUY,1.55155,60882.06054407586,28.338468311148265
2014-01-28,SELL,1.542456,60882.06054407586,28.17236987357192
2014-02-11,BUY,1.5905889999999998,59004.28818329459,28.155471521153505
2014-02-25,SELL,1.531467,59004.28818329459,27.108936063361682
2014-03-24,BUY,1.48148,60958.58101328563,27.092675579868715
2014-04-22,SELL,1.4975010000000002,60958.58101328563,27.385660807792874
2014-05-26,BUY,1.484483,61456.265333337746,27.369234339248763
2014-06-05,SELL,1.450548,61456.265333337746,26.743578830022717
2014-06-06,BUY,1.476475,60340.87380444454,26.727537495125176
2014-06-09,SELL,1.4515470000000001,60340.87380444454,26.27628430446602
2014-06-11,BUY,1.4834819999999997,59006.49791548089,26.26052326219602
2014-06-20,SELL,1.45854,59006.49791548089,25.81900124089365
2014-06-25,BUY,1.48148,58057.96565186059,25.803514486175523
2014-06-26,SELL,1.474524,58057.96565186059,25.682359123453224
2014-06-27,BUY,1.482481,57711.71059284484,25.66695432941736
2014-07-10,SELL,1.494504,57711.71059284484,25.875114698354693
2014-07-14,BUY,1.5055039999999997,57255.67492272687,25.859594285659487
2014-08-26,SELL,1.702296,57255.67492272687,29.239831919477474
2014-09-02,BUY,1.7217199999999997,56575.7755459987,29.222293281917057
2014-09-23,SELL,1.7452530000000002,56575.7755459987,29.621712599694263
2014-09-24,BUY,1.7607589999999997,56043.90853119522,29.603944902443626
2014-10-22,SELL,1.7972009999999998,56043.90853119522,30.21665053685177
2014-10-30,BUY,1.8148129999999998,55466.73584531951,30.198525983895543
2015-01-20,SELL,2.666331,55466.73584531951,44.36780317595598
2015-01-22,BUY,2.904902,50880.8793754601,44.34119047785983
2015-01-29,SELL,2.811186,50880.8793754601,42.91068473039465
2015-02-16,BUY,2.8178149999999995,50730.73290376076,42.884946041163175
2015-05-07,SELL,3.86613,50730.73290376076,58.839482520364975
2015-05-12,BUY,4.037033,48553.966422686535,58.804189418783245
2015-05-18,SELL,3.928068,48553.966422686535,57.216984533408834
2015-05-20,BUY,4.100096,46488.882730759804,57.182664638657194
2015-06-17,SELL,4.391604,46488.882730759804,61.248229006780704
2015-07-21,BUY,3.4964929999999996,58355.13002195006,61.21149109075146
2015-07-28,SELL,3.077919,58355.13002195006,53.883709032609154
2015-08-11,BUY,3.4974939999999997,51323.78449955728,53.851388503348375
2015-08-19,SELL,3.150846,51323.78449955728,48.514002328587615
2015-09-22,BUY,2.6996969999999996,59864.62265591523,48.4849026570919
2015-09-24,SELL,2.6763209999999997,59864.62265591523,48.0650840313305
2015-10-09,BUY,2.6916889999999998,59487.12701706637,48.0362536300321
2015-11-04,SELL,2.863134,59487.12701706637,51.095884777464384
2015-11-05,BUY,3.058055,55661.99914771406,51.06523644109881
2015-11-30,SELL,2.971026,55661.99914771406,49.611974003950884
2015-12-04,BUY,3.1451419999999994,52548.99539991687,49.58221574702559
2015-12-07,SELL,3.0879090000000002,52548.99539991687,48.67995475090857
2015-12-15,BUY,3.1321289999999995,51776.02363314959,48.650755537821944
2015-12-16,SELL,3.10689,51776.02363314959,48.25872301967884
2015-12-18,BUY,3.1701669999999993,50712.130170463155,48.22977646983199
2015-12-29,SELL,3.12687,50712.130170463155,47.571071539834826
2015-12-30,BUY,3.175172,49910.72132694516,47.54253745713573
2016-01-04,SELL,3.131865,49910.72132694516,46.89409237458393
2016-02-18,BUY,2.4874849999999995,62802.34099577725,46.86596435756428
2016-02-26,SELL,2.3336639999999997,62802.34099577725,43.967868689270844
2016-03-03,BUY,2.460458,59530.239058338055,43.941495879900096
2016-03-11,SELL,2.38761,59530.239058338055,42.64049822342355
2016-03-15,BUY,2.470468,57499.121080806406,42.61492159747729
2016-04-21,SELL,2.554443,57499.121080806406,44.06346820530551
2016-05-04,BUY,2.6106079999999996,56228.32950973859,44.037038053427885
2016-05-09,SELL,2.5274699999999997,56228.32950973859,42.63462479579369
2016-06-01,BUY,2.5825799999999997,54995.45892459881,42.60905169284711
2016-06-14,SELL,2.472525,54995.45892459881,40.7932941232631
2016-06-16,BUY,2.5345319999999996,53617.82173511048,40.76882548737991
2016-06-17,SELL,2.513484,53617.82173511048,40.430261113815725
2016-06-20,BUY,2.5325299999999995,53182.667441138394,40.40601023241186
2016-06-22,SELL,2.516481,53182.667441138394,40.149951643483014
2016-06-23,BUY,2.54254,52606.01458557293,40.12586889732078
2016-06-24,SELL,2.5274699999999997,52606.01458557293,39.88803710537939
2016-06-28,BUY,2.5285259999999994,52552.503528155066,39.864111460809525
2016-07-28,SELL,2.652345,52552.503528155066,41.816210991115334
2016-08-09,BUY,2.695693,51676.419618481836,41.79112878918124
2016-09-02,SELL,2.75724,51676.419618481836,42.74528736865885
