ann_return,ann_vol,sharpe,max_drawdown,num_trades,ma
0.01139887352254254,0.17641880869919221,0.1527507085663729,-0.5613996212470436,379,20
0.015711364163051744,0.18135657255182444,0.17705780836096507,-0.5758329695879907,335,25
0.03685881820374348,0.1780696545727944,0.29249116808292086,-0.4679852217470303,283,30
0.05382165274267825,0.1741293160342607,0.38818004263966593,-0.386519217133819,263,35
0.05088363296001375,0.17528061205045603,0.3709388699207613,-0.4097380878798905,247,40
0.0573564692060069,0.17624615616398318,0.40467553392944694,-0.3494590087597542,223,45
0.04864928897682996,0.1776982700751108,0.35628332546649605,-0.38518596850466713,209,50
0.05746966658112451,0.17720904235721327,0.4041476839366296,-0.4286756931952256,185,55
0.041959829850166,0.17663311954743452,0.3212268992108165,-0.5183523428965306,195,60
0.05362240941748442,0.17638778759213253,0.3846825379116563,-0.4046185679102887,189,65
0.07030899372378796,0.17907004445922572,0.46929485444305025,-0.36138252875678545,165,70
0.06771765054757184,0.17973831477972535,0.45474028486205387,-0.40410835376185217,157,75
0.0653564624719345,0.17791677037923706,0.4451541339154751,-0.38667121856905606,141,80
0.06314266760763743,0.17851606647521087,0.4326221218083528,-0.37534638533489095,151,85
0.06189085154061602,0.17829477646358458,0.4263510084540054,-0.4059771781478364,151,90
0.0629523284628064,0.17864293717614574,0.43147380905819416,-0.43118987392690045,143,95
0.05853377233302903,0.177284760043764,0.4099595366688894,-0.45641906215106787,129,100
0.05452464813600777,0.17715820140779204,0.3886902713261726,-0.46772945454724935,141,105
0.061288712846015114,0.17753404839834758,0.42426539617127684,-0.4622459091500428,135,110
0.07011466319665849,0.17647574780326583,0.4726470361731408,-0.4021285663989105,123,115
0.061036048473196436,0.17860672071769432,0.42137495905870453,-0.435691237352278,119,120
0.05739285601256383,0.17893685214966534,0.40171864978694116,-0.43246346266233393,121,125
0.045158055931894925,0.18235028990495689,0.3339881464799763,-0.4853043077841662,113,130
0.0593969635951106,0.18669266496371287,0.4028164718170134,-0.4470116550907901,107,135
0.06363676246809336,0.18669577069472715,0.424215455925485,-0.4528493824340487,103,140
0.07114732504421672,0.18652247169478897,0.46216249708934415,-0.4194986413697015,97,145
0.050150396282306664,0.18815224070983225,0.3546639205659883,-0.4519714422150719,103,150
0.04303225214646522,0.18818523151913483,0.31848547419000295,-0.4755136931499536,113,155
0.032165055751150806,0.18522690496581878,0.2642692340471353,-0.5169130387415151,105,160
0.025812281594361997,0.18672319436552398,0.23063881242070775,-0.5368863235184056,111,165
0.029908614964113678,0.1890331137449313,0.25130849692322144,-0.5823962610493391,109,170
0.03331208492578197,0.18991341478167825,0.26834396066465405,-0.5557631655852222,103,175
0.048469279324994785,0.18936354603117864,0.3454609788119655,-0.5393653378349241,91,180
0.04905217307440002,0.1885699237643765,0.34908110147904264,-0.5357656779910815,85,185
0.05517491947315567,0.18874656081606914,0.3797268308102336,-0.48958654777142274,81,190
0.058515299933352694,0.18923127835252954,0.3959502450637206,-0.4755315774318333,79,195
0.0605102791100991,0.18915214104548364,0.4059951410127756,-0.49464495091353833,77,200
