ann_return,ann_vol,sharpe,max_drawdown,num_trades,ma
0.025366941510512442,0.19257903327482231,0.2268640084745252,-0.4571016409900682,260,20
0.010303116756831487,0.19955672917911663,0.15179141892776918,-0.50183511790509,238,25
0.03166130899838504,0.1946319738010043,0.2578088055744773,-0.42152123731732705,204,30
0.05434909451116021,0.18988485131460095,0.37382501042514293,-0.386519217133819,194,35
0.044966166124898344,0.19109535455968324,0.32599935592062546,-0.4097380878798905,192,40
0.05879340035302549,0.1925658519997049,0.39319842200800215,-0.3494590087597542,166,45
0.04186930622023244,0.19407515042728524,0.3086166623603711,-0.37827217611814457,164,50
0.05691901722666426,0.1935459037850237,0.3831689509508831,-0.41459793956802016,140,55
0.036906014752201566,0.19270393031497188,0.2847809434226854,-0.4850457124605596,150,60
0.05623281078987752,0.1923424453070285,0.3811674751284878,-0.3888455583473457,136,65
0.08473901842208797,0.1954589327505948,0.5143883239688737,-0.36138252875678545,114,70
0.08015320350743349,0.19651591673021856,0.49112635273825667,-0.39493396767044486,106,75
0.08146985347700908,0.19404180824843786,0.5012247007632508,-0.3754372682840986,92,80
0.08476747057761269,0.1948611497678586,0.5155879451465261,-0.36062031782682225,98,85
0.08142818936615148,0.1944557277681421,0.5004280866434995,-0.4059771781478364,98,90
0.07862949086923576,0.1947741082644203,0.48663354362749534,-0.43118987392690045,94,95
0.0876339746373005,0.19446805493168887,0.5298656588170354,-0.45641906215106787,86,100
0.08631411093843333,0.19435455435735854,0.5237975763499887,-0.46772945454724935,92,105
0.0916735790564116,0.19485938604141864,0.5482127000626241,-0.4622459091500428,90,110
0.09667315293978485,0.19369314904087476,0.573886943088601,-0.3928017355419249,86,115
0.08412991961386629,0.19652955254639987,0.5098187353729793,-0.39094552166426255,80,120
0.07908708203168269,0.19719041422876263,0.48514230212143794,-0.3954148585764454,82,125
0.07199773930168485,0.20124301565100308,0.4469233898758286,-0.45833963004047096,72,130
0.09287516548849739,0.20625214336193715,0.5342743756907136,-0.40385703245355054,70,135
0.0987265311109653,0.2064115896691719,0.5599058763875899,-0.39663522026064213,66,140
0.11398642765512523,0.20622689154812485,0.6271233452920033,-0.3632634836368621,56,145
0.09186653359841834,0.2084629171850769,0.5265333617709556,-0.4519714422150719,54,150
0.0855058052933384,0.20857631618110026,0.49833775219054105,-0.45236648863639894,56,155
0.06267731083443762,0.204885860397572,0.40011903978547275,-0.5169130387415151,52,160
0.05621208030836944,0.2069079534655907,0.36880418336015425,-0.5368863235184056,56,165
0.04343699951032298,0.20871208303547567,0.3092805934227515,-0.5823962610493391,58,170
0.04760660095362712,0.20986446623206573,0.3276702550829595,-0.5557631655852222,60,175
0.05805925008158774,0.20920702418595322,0.375475630627487,-0.5393653378349241,58,180
0.055378238489134146,0.20829521363341244,0.364039491925128,-0.5357656779910815,58,185
0.06511823213089118,0.20850609710010057,0.407897128371842,-0.48958654777142274,52,190
0.06837865228992057,0.20926729268451844,0.42178938413844946,-0.4755315774318333,52,195
0.07047303075715328,0.20930907500134693,0.43110787230232644,-0.49464495091353833,48,200
